Campaign,Ad Group,Ad Type,Field,Value
Bay Area Deck,Redwood Deck Stain & Seal,Responsive Search Ad,Headline,"Redwood Deck Stain & Seal Services"
Bay Area Deck,Redwood Deck Stain & Seal,Responsive Search Ad,Headline,"Premium Redwood Deck Refinishing"
Bay Area Deck,Redwood Deck Stain & Seal,Responsive Search Ad,Headline,"Protect Natural Redwood Decks From Sun and Moisture"
Bay Area Deck,Redwood Deck Stain & Seal,Responsive Search Ad,Description,"Restore the look of your natural Redwood deck with professional stain and seal services designed for Bay Area weather."
Bay Area Deck,Redwood Deck Stain & Seal,Responsive Search Ad,Headline,"Request a Free Estimate"
Bay Area Siding,Wood Siding Refinishing,Responsive Search Ad,Headline,"Restore & Protect Natural Wood Siding"
Bay Area Siding,Wood Siding Refinishing,Responsive Search Ad,Description,"Revitalize natural wood siding with professional refinishing services that restore color and grain while protecting against Bay Area weather."
Bay Area Exterior Wood,Teak Furniture Refinishing,Responsive Search Ad,Headline,"Teak Outdoor Furniture Refinishing"
Bay Area Exterior Wood,Teak Furniture Refinishing,Responsive Search Ad,Description,"We clean, prep and refinish Teak outdoor sets so they look great and last longer in Bay Area conditions."
Bay Area Pressure Washing,Exterior Surface Cleaning,Responsive Search Ad,Headline,"Driveway and Hardscape Pressure Washing"
Bay Area Pressure Washing,Exterior Surface Cleaning,Responsive Search Ad,Description,"Clean driveways, walkways and patios with professional pressure washing to remove dirt, grime, algae and stains."
