Ad report
"January 20, 2026 - January 21, 2026"
Ad status,Final URL,Beacon URLs,Headline,Long headline,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Description 5,Image ID,Square image ID,Logo ID,Landscape logo ID,Business name,Call to action text,Video ID,Accent color,Main color,Allow flexible color,Ad format preference,Promotion text,Price prefix,Enable Asset Enhancements,Enable Autogen Video,Ad name,Display URL,Country,Phone number,Verification URL,Call reporting,Call conversion,Path 1,Path 2,Auto-applied ad suggestion,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad strength,Ad strength improvements,Ad type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,https://calpreserving.com, --, --, --,Exterior Surface Cleaning Pros, --,Restore Curb Appeal, --,Concrete Pressure Washing, --,"Patio, Stone Pressure Washing", --,Hardscape Cleaning Specialists, --,Eliminate Grime From Hardscape, --,Refresh Patios & Walkways, --,"Remove Dirt, Stains & Mildew", --,"Safe Cleaning- Concrete, Stone", --,Bay Area Hardscape Cleaning, --,Professional Surface Cleaning, --,Experienced Pressure Washing, --,"Driveways, Patios & Walkways", --,Best Pressure Washing Services, --, --, --, --,"Professional exterior wood restoration to repair, refinish, and protect wood surfaces.", --,"Pressure washing for concrete, stone, and hardscape surfaces to remove dirt and stains.", --,Expert care for exterior wood structures and surfaces. Preserve wood the right way., --,"Premium exterior wood restoration focused on durability, appearance, and protection.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Pressure,Washing,No,, --, --,,Bay Area Pressure,Pressure Washing,Eligible,,Excellent,,Responsive search ad,14,2,14.29%,USD,5.96,11.91,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Wood Restoration Service, --,Wood Restoration, --,Over 35 Years in Business, --,Pressure Washing Hardscape, --,Concrete Pressure Washing, --,"Remove Dirt, Stains & Mildew", --,Refresh Driveways & Walkways, --,Exterior Surface Cleaning Pros, --,Stone Pressure Washing, --,30+ Years in Business, --,Online estimations available, --,Cal Preserving - Deck Care, --, --, --, --, --, --, --, --,"Pressure washing for concrete, stone, and hardscape surfaces to remove dirt and stains.", --,"We clean driveways, walkways, patios, and other hard surfaces with professional equipment.", --,"Improve curb appeal by removing mildew, grime, and weather buildup from hardscape.", --,Exterior surface cleaning done carefully to protect adjacent wood and landscaping., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Pressure,Washing,No,, --, --,,Bay Area Pressure,Pressure Washing,Eligible,,Good,Add 2 more sitelinks in your ad,Responsive search ad,4,2,50.00%,USD,5.97,11.94,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Best Pressure Washing Services, --,Exterior Surface Cleaning Pros, --,Hardscape Cleaning Specialists, --,"Remove Dirt, Stains & Mildew", --,"Driveways, Patios & Walkways", --,Eliminate Grime From Hardscape, --,Professional Surface Cleaning, --,Experienced Pressure Washing, --,Stone Pressure Washing, --,Concrete Pressure Washing, --,Pressure Washing Hardscape, --,Hardscape Pressure Washing, --,Over 35 Years in Business, --,Restore Curb Appeal, --, --, --, --,"We clean driveways, walkways, patios, and hard surfaces using professional equipment.", --,Exterior surface cleaning done carefully to protect nearby wood and landscaping., --,"Pressure washing for concrete, stone, and hardscape surfaces to remove dirt and stains.", --,"Professional pressure washing focused on hardscape, not wood surfaces.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Pressure,Washing,No,, --, --,,Bay Area Pressure,Pressure Washing,Eligible,,Good,Add 2 more sitelinks in your ad,Responsive search ad,1,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Fix Faded & Worn Siding, --,Exterior Wood Siding Care, --,Restore weathered wood siding, --,Protect high-end wood siding, --,Protect your wood siding, --,Premium Wood Siding Services, --,Cedar Siding Experts, --,"Redwood, IPE, Teak Siding", --,Wood Siding Staining, --,Wood Siding Sealing, --,Siding Refinishing & Sealing, --,Repair & Restore Wood Siding, --,Restore Weathered Wood Siding, --,Restore Curb Appeal Naturally, --, --, --, --,"Premium restoration for cedar, redwood, IPE, and other hardwood siding materials.", --,"Professional finishing focused on durability, appearance, and long-term siding protection.", --,"Extend the life of premium wood siding with proper repair, refinishing, and sealing.", --,Keep your home natural wood siding beautiful and protected for years with expert care., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,siding,restoration,No,, --, --,,Bay Area Siding,Wood Siding Restoration,Eligible,,Good,Try including more keywords in your descriptions;Add 2 more sitelinks in your ad,Responsive search ad,10,3,30.00%,USD,5.10,15.29,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Online estimations available, --,Cal Preserving- Wood Care, --,Exterior Wood Restoration, --,Professional Wood Refinishing, --,"Repair, Preserve Exterior Wood", --,Long-Lasting Wood Protection, --,Exterior Wood Specialist, --,Wood Care Pros, --,Wood Restoration Experts, --,Cal Preserving - Wood Care, --,Wood Restoration Service, --,Onsite services available, --,Great Value For Money, --, --, --, --, --, --,"Professional exterior wood restoration to repair, refinish, and protect wood surfaces.", --,Restore weathered exterior wood with proven methods and long-lasting finishes., --,"Premium exterior wood restoration focused on durability, appearance, and protection.", --,Expert care for exterior wood structures and surfaces. Preserve wood the right way., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Exterior,Wood,No,, --, --,,Bay Area Exterior Wood (Catch-all),Exterior Wood Services,Eligible,,Good,Try adding a few more unique headlines or unpinning some assets;Add 2 more sitelinks in your ad,Responsive search ad,26,1,3.85%,USD,2.59,2.59,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Wood Siding Restoration Expert, --,Cedar & Redwood Siding Repair, --,Exterior Wood Siding Care, --,Restore Weathered Wood Siding, --,Preserve Your Home Siding, --,"Clean, Refinish & Seal Siding", --,IPE & Hardwood Siding Care, --,Fix Faded & Worn Siding, --,Wood Restoration Service, --,Cal Preserving - Wood Care, --,Online estimations available, --,Trusted Since 30+Years, --,Satisfaction Guaranteed, --,Teak Siding, --,Wood Siding Staining, --, --,"Clean, refinish and seal wood siding to restore natural beauty and protect against weather", --,"Professional finishing focused on durability, appearance, and long-term siding protection.", --,We use proven prep and finishing systems to keep your wood siding looking great for years., --,"Protect your wood siding from sun, rain and moisture with high quality finishes and sealer", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,siding,restoration,No,, --, --,,Bay Area Siding,Wood Siding Restoration,Eligible,,Good,Try including more keywords in your descriptions;Add 2 more sitelinks in your ad,Responsive search ad,4,0,0.00%,USD,0,0.00,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Redwood & IPE Deck Specialists, --,Expert Wood Deck Care, --,Premium Wood Deck Restoration, --,Hardwood Deck Restoration Pros, --,Restore High-End Wood Decks, --,Premium Deck Restoring Service, --,Cedar Deck Specialist, --,Extend the Life of Wood Decks, --,Protect & Restore Wood Decks, --,Bay Area Premium Deck Experts, --,Skilled Craftsmen for Deck, --,Teak Deck Restoration, --,IPE Deck Services, --,Seal Your Decks, --,Cal Preserving - Deck Care, --, --,Professional Wood Deck Specialists, --,Long-lasting protection for high-end wood decks, --,Restore premium wood decks without replacement., --,"Premium restoration for redwood, IPE, and hardwood decks.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,deck,restoration,No,, --, --,,Bay Area Deck,Wood Deck Restoration,Eligible,,Good,Try including more keywords in your descriptions;Add 2 more sitelinks in your ad,Responsive search ad,46,1,2.17%,USD,9.41,9.41,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Restore Weathered Outdoor Wood, --,Wood Restoration Service, --,Long-Lasting Wood Protection, --,Professional Wood Refinishing, --,Expert Outdoor Wood Specialist, --,Serving the Bay Area, --,Redwood Preservation, --,Faded Wood Restoration, --,Siding Restoration, --,Enhance Beauty and Value, --,Stop Replacing just Restore, --,"Restore Wood, Don’t Replace It", --,Bay Area Wood Care Services, --,"Gray, Dry, or Faded Wood?", --,Restoration & Maintenance, --, --,Stop replacing worn wood. Restore and protect exterior surfaces with expert care., --,"From repairs to refinishing, we restore exterior wood to look better and last longer.", --,Premium exterior wood restoration services trusted across the Bay Area., --,"Gray, dry, or sun-damaged wood? Our restoration process brings exterior wood back to life.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Exterior,Wood,No,, --, --,,Bay Area Exterior Wood (Catch-all),Exterior Wood Services,Eligible,,Good,Add 2 more sitelinks in your ad,Responsive search ad,74,2,2.70%,USD,7.73,15.46,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,Over 35 Years in Business, --,Long-Lasting Wood Protection, --,Exterior Wood Specialist, --,Professional Wood Refinishing, --,Restore Weathered Wood, --,Exterior Wood Maintenance, --,Preserve Exterior Wood, --,Exterior Wood Specialists, --,Exterior Wood Preservation, --,"Repair, Preserve Exterior Wood", --,Wood Care Pros, --,Online estimations available, --,Wood Restoration & Maintenance, --,Wood Restoration Experts, --,Wood Care, --, --,"Cal Preserving: We enhance beauty, durability & value to every project.", --,We Won’t Take A Dime Of Your Money Until The Work Is Done And You Are Happy., --,Cal Preserving offers specialized services in the Greater San Francisco Bay Area., --,"We specialize in cleaning and preserving decks, siding, fences, and patio furniture.", --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Exterior,Wood,No,, --, --,,Bay Area Exterior Wood (Catch-all),Exterior Wood Services,Eligible,,Good,Try including more keywords in your descriptions;Add 2 more sitelinks in your ad,Responsive search ad,22,1,4.55%,USD,7.93,7.93,0.00%,0.00,0.00
Enabled,https://calpreserving.com, --, --, --,"Clean, Refinish & Seal Siding", --,Restore Curb Appeal Naturally, --,Preserve Natural Wood Siding, --,Siding Restoration Specialists, --,Restore Premium Wood Siding, --,IPE & Hardwood Siding Care, --,Fix Faded & Worn Siding, --,Exterior Wood Siding Care, --,Cedar & Redwood Siding Repair, --,Preserve Your Home Siding, --,Best Finishing and Protection, --,Protect Exterior Wood Siding, --,Wood Siding Staining, --,Teak Siding Experts, --, --, --, --,"Professional finishing focused on durability, appearance, and long-term siding protection.", --,We carefully restore and protect high-end wood siding with species-appropriate finishes., --,"Premium restoration for cedar, redwood, IPE, and other hardwood siding materials.", --,We use proven prep and finishing systems to keep your wood siding looking great for years., --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,siding,restoration,No,, --, --,,Bay Area Siding,Wood Siding Restoration,Eligible,,Good,Try including more keywords in your descriptions;Add 2 more sitelinks in your ad,Responsive search ad,4,1,25.00%,USD,9.36,9.36,0.00%,0.00,0.00
